## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/aligned/SRR12023503.bam --OUTPUT results/aligned/SRR12023503_marked_duplicates.bam --METRICS_FILE results/aligned/SRR12023503_duplicate_metrics.txt --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Mar 15 03:52:33 UTC 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR12023503_lib	2304069	342497	34280	29073081	2302515	27854	0	0.788951	1989913

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	289489	289489
2.0	1.841881	22697	22697
3.0	2.550645	2240	2240
4.0	3.147339	196	196
5.0	3.649685	16	16
6.0	4.072601	5	5
7.0	4.428645	0	0
8.0	4.728392	0	0
9.0	4.980744	0	0
10.0	5.193194	0	0
11.0	5.372051	0	0
12.0	5.522628	0	0
13.0	5.649396	0	0
14.0	5.756119	0	0
15.0	5.845967	0	0
16.0	5.921609	0	0
17.0	5.98529	0	0
18.0	6.038902	0	0
19.0	6.084037	0	0
20.0	6.122036	0	0
21.0	6.154026	0	0
22.0	6.180957	0	0
23.0	6.203631	0	0
24.0	6.222719	0	0
25.0	6.238789	0	0
26.0	6.252318	0	0
27.0	6.263708	0	0
28.0	6.273297	0	0
29.0	6.28137	0	0
30.0	6.288166	0	0
31.0	6.293888	0	0
32.0	6.298705	0	0
33.0	6.30276	0	0
34.0	6.306174	0	0
35.0	6.309048	0	0
36.0	6.311468	0	0
37.0	6.313505	0	0
38.0	6.31522	0	0
39.0	6.316664	0	0
40.0	6.31788	0	0
41.0	6.318903	0	0
42.0	6.319765	0	0
43.0	6.32049	0	0
44.0	6.3211	0	0
45.0	6.321615	0	0
46.0	6.322047	0	0
47.0	6.322412	0	0
48.0	6.322718	0	0
49.0	6.322977	0	0
50.0	6.323194	0	0
51.0	6.323377	0	0
52.0	6.323531	0	0
53.0	6.323661	0	0
54.0	6.32377	0	0
55.0	6.323862	0	0
56.0	6.32394	0	0
57.0	6.324005	0	0
58.0	6.32406	0	0
59.0	6.324106	0	0
60.0	6.324145	0	0
61.0	6.324177	0	0
62.0	6.324205	0	0
63.0	6.324228	0	0
64.0	6.324248	0	0
65.0	6.324264	0	0
66.0	6.324278	0	0
67.0	6.32429	0	0
68.0	6.324299	0	0
69.0	6.324308	0	0
70.0	6.324315	0	0
71.0	6.324321	0	0
72.0	6.324325	0	0
73.0	6.32433	0	0
74.0	6.324333	0	0
75.0	6.324336	0	0
76.0	6.324339	0	0
77.0	6.324341	0	0
78.0	6.324342	0	0
79.0	6.324344	0	0
80.0	6.324345	0	0
81.0	6.324346	0	0
82.0	6.324347	0	0
83.0	6.324348	0	0
84.0	6.324348	0	0
85.0	6.324349	0	0
86.0	6.324349	0	0
87.0	6.32435	0	0
88.0	6.32435	0	0
89.0	6.32435	0	0
90.0	6.324351	0	0
91.0	6.324351	0	0
92.0	6.324351	0	0
93.0	6.324351	0	0
94.0	6.324351	0	0
95.0	6.324351	0	0
96.0	6.324351	0	0
97.0	6.324351	0	0
98.0	6.324351	0	0
99.0	6.324351	0	0
100.0	6.324352	0	0

